agency_code	scope	region_key	full_name	agency_type
3000000	sgg	11110	서울특별시 종로구	기초자치단체
3010000	sgg	11140	서울특별시 중구	기초자치단체
3020000	sgg	11170	서울특별시 용산구	기초자치단체
3030000	sgg	11200	서울특별시 성동구	기초자치단체
3040000	sgg	11215	서울특별시 광진구	기초자치단체
3050000	sgg	11230	서울특별시 동대문구	기초자치단체
3060000	sgg	11260	서울특별시 중랑구	기초자치단체
3070000	sgg	11290	서울특별시 성북구	기초자치단체
3080000	sgg	11305	서울특별시 강북구	기초자치단체
3090000	sgg	11320	서울특별시 도봉구	기초자치단체
3100000	sgg	11350	서울특별시 노원구	기초자치단체
3110000	sgg	11380	서울특별시 은평구	기초자치단체
3120000	sgg	11410	서울특별시 서대문구	기초자치단체
3130000	sgg	11440	서울특별시 마포구	기초자치단체
3140000	sgg	11470	서울특별시 양천구	기초자치단체
3150000	sgg	11500	서울특별시 강서구	기초자치단체
3160000	sgg	11530	서울특별시 구로구	기초자치단체
3170000	sgg	11545	서울특별시 금천구	기초자치단체
3180000	sgg	11560	서울특별시 영등포구	기초자치단체
3190000	sgg	11590	서울특별시 동작구	기초자치단체
3200000	sgg	11620	서울특별시 관악구	기초자치단체
3210000	sgg	11650	서울특별시 서초구	기초자치단체
3220000	sgg	11680	서울특별시 강남구	기초자치단체
3230000	sgg	11710	서울특별시 송파구	기초자치단체
3240000	sgg	11740	서울특별시 강동구	기초자치단체
3250000	sgg	26110	부산광역시 중구	기초자치단체
3260000	sgg	26140	부산광역시 서구	기초자치단체
3270000	sgg	26170	부산광역시 동구	기초자치단체
3280000	sgg	26200	부산광역시 영도구	기초자치단체
3290000	sgg	26230	부산광역시 부산진구	기초자치단체
3300000	sgg	26260	부산광역시 동래구	기초자치단체
3310000	sgg	26290	부산광역시 남구	기초자치단체
3320000	sgg	26320	부산광역시 북구	기초자치단체
3330000	sgg	26350	부산광역시 해운대구	기초자치단체
3340000	sgg	26380	부산광역시 사하구	기초자치단체
3350000	sgg	26410	부산광역시 금정구	기초자치단체
3360000	sgg	26440	부산광역시 강서구	기초자치단체
3370000	sgg	26470	부산광역시 연제구	기초자치단체
3380000	sgg	26500	부산광역시 수영구	기초자치단체
3390000	sgg	26530	부산광역시 사상구	기초자치단체
3400000	sgg	26710	부산광역시 기장군	기초자치단체
3410000	sgg	27110	대구광역시 중구	기초자치단체
3420000	sgg	27140	대구광역시 동구	기초자치단체
3430000	sgg	27170	대구광역시 서구	기초자치단체
3440000	sgg	27200	대구광역시 남구	기초자치단체
3450000	sgg	27230	대구광역시 북구	기초자치단체
3460000	sgg	27260	대구광역시 수성구	기초자치단체
3470000	sgg	27290	대구광역시 달서구	기초자치단체
3480000	sgg	27710	대구광역시 달성군	기초자치단체
3490000	sgg	28110	인천광역시 중구	기초자치단체
3500000	sgg	28140	인천광역시 동구	기초자치단체
3510500	sgg	28177	인천광역시 미추홀구	기초자치단체
3520000	sgg	28185	인천광역시 연수구	기초자치단체
3530000	sgg	28200	인천광역시 남동구	기초자치단체
3540000	sgg	28237	인천광역시 부평구	기초자치단체
3550000	sgg	28245	인천광역시 계양구	기초자치단체
3560000	sgg	28260	인천광역시 서구	기초자치단체
3570000	sgg	28710	인천광역시 강화군	기초자치단체
3580000	sgg	28720	인천광역시 옹진군	기초자치단체
3590000	sgg	29110	광주광역시 동구	기초자치단체
3600000	sgg	29140	광주광역시 서구	기초자치단체
3610000	sgg	29155	광주광역시 남구	기초자치단체
3620000	sgg	29170	광주광역시 북구	기초자치단체
3630000	sgg	29200	광주광역시 광산구	기초자치단체
3640000	sgg	30110	대전광역시 동구	기초자치단체
3650000	sgg	30140	대전광역시 중구	기초자치단체
3660000	sgg	30170	대전광역시 서구	기초자치단체
3670000	sgg	30200	대전광역시 유성구	기초자치단체
3680000	sgg	30230	대전광역시 대덕구	기초자치단체
3690000	sgg	31110	울산광역시 중구	기초자치단체
3700000	sgg	31140	울산광역시 남구	기초자치단체
3710000	sgg	31170	울산광역시 동구	기초자치단체
3720000	sgg	31200	울산광역시 북구	기초자치단체
3730000	sgg	31710	울산광역시 울주군	기초자치단체
3740000	sgg	41110	경기도 수원시	기초자치단체
3780000	sgg	41130	경기도 성남시	기초자치단체
3820000	sgg	41150	경기도 의정부시	기초자치단체
3830000	sgg	41170	경기도 안양시	기초자치단체
3860000	sgg	41190	경기도 부천시	기초자치단체
3900000	sgg	41210	경기도 광명시	기초자치단체
3910000	sgg	41220	경기도 평택시	기초자치단체
3920000	sgg	41250	경기도 동두천시	기초자치단체
3930000	sgg	41270	경기도 안산시	기초자치단체
3940000	sgg	41280	경기도 고양시	기초자치단체
3970000	sgg	41290	경기도 과천시	기초자치단체
3980000	sgg	41310	경기도 구리시	기초자치단체
3990000	sgg	41360	경기도 남양주시	기초자치단체
4000000	sgg	41370	경기도 오산시	기초자치단체
4010000	sgg	41390	경기도 시흥시	기초자치단체
4020000	sgg	41410	경기도 군포시	기초자치단체
4030000	sgg	41430	경기도 의왕시	기초자치단체
4040000	sgg	41450	경기도 하남시	기초자치단체
4050000	sgg	41460	경기도 용인시	기초자치단체
4060000	sgg	41480	경기도 파주시	기초자치단체
4070000	sgg	41500	경기도 이천시	기초자치단체
4080000	sgg	41550	경기도 안성시	기초자치단체
4090000	sgg	41570	경기도 김포시	기초자치단체
4140000	sgg	41800	경기도 연천군	기초자치단체
4160000	sgg	41820	경기도 가평군	기초자치단체
4170000	sgg	41830	경기도 양평군	기초자치단체
4180000	sgg	51110	강원도 춘천시	기초자치단체
4181000	sgg	51110	강원특별자치도 춘천시	기초자치단체
4190000	sgg	51130	강원도 원주시	기초자치단체
4191000	sgg	51130	강원특별자치도 원주시	기초자치단체
4200000	sgg	51150	강원도 강릉시	기초자치단체
4201000	sgg	51150	강원특별자치도 강릉시	기초자치단체
4210000	sgg	51170	강원도 동해시	기초자치단체
4211000	sgg	51170	강원특별자치도 동해시	기초자치단체
4220000	sgg	51190	강원도 태백시	기초자치단체
4221000	sgg	51190	강원특별자치도 태백시	기초자치단체
4230000	sgg	51210	강원도 속초시	기초자치단체
4231000	sgg	51210	강원특별자치도 속초시	기초자치단체
4240000	sgg	51230	강원도 삼척시	기초자치단체
4241000	sgg	51230	강원특별자치도 삼척시	기초자치단체
4250000	sgg	51720	강원도 홍천군	기초자치단체
4251000	sgg	51720	강원특별자치도 홍천군	기초자치단체
4260000	sgg	51730	강원도 횡성군	기초자치단체
4261000	sgg	51730	강원특별자치도 횡성군	기초자치단체
4270000	sgg	51750	강원도 영월군	기초자치단체
4271000	sgg	51750	강원특별자치도 영월군	기초자치단체
4280000	sgg	51760	강원도 평창군	기초자치단체
4281000	sgg	51760	강원특별자치도 평창군	기초자치단체
4290000	sgg	51770	강원도 정선군	기초자치단체
4291000	sgg	51770	강원특별자치도 정선군	기초자치단체
4300000	sgg	51780	강원도 철원군	기초자치단체
4301000	sgg	51780	강원특별자치도 철원군	기초자치단체
4310000	sgg	51790	강원도 화천군	기초자치단체
4311000	sgg	51790	강원특별자치도 화천군	기초자치단체
4320000	sgg	51800	강원도 양구군	기초자치단체
4321000	sgg	51800	강원특별자치도 양구군	기초자치단체
4330000	sgg	51810	강원도 인제군	기초자치단체
4331000	sgg	51810	강원특별자치도 인제군	기초자치단체
4340000	sgg	51820	강원도 고성군	기초자치단체
4341000	sgg	51820	강원특별자치도 고성군	기초자치단체
4350000	sgg	51830	강원도 양양군	기초자치단체
4351000	sgg	51830	강원특별자치도 양양군	기초자치단체
4360000	sgg	43110	충청북도 청주시	기초자치단체
4390000	sgg	43130	충청북도 충주시	기초자치단체
4400000	sgg	43150	충청북도 제천시	기초자치단체
4420000	sgg	43720	충청북도 보은군	기초자치단체
4430000	sgg	43730	충청북도 옥천군	기초자치단체
4440000	sgg	43740	충청북도 영동군	기초자치단체
4450000	sgg	43750	충청북도 진천군	기초자치단체
4460000	sgg	43760	충청북도 괴산군	기초자치단체
4470000	sgg	43770	충청북도 음성군	기초자치단체
4480000	sgg	43800	충청북도 단양군	기초자치단체
4490000	sgg	44130	충청남도 천안시	기초자치단체
4500000	sgg	44150	충청남도 공주시	기초자치단체
4510000	sgg	44180	충청남도 보령시	기초자치단체
4520000	sgg	44200	충청남도 아산시	기초자치단체
4530000	sgg	44210	충청남도 서산시	기초자치단체
4540000	sgg	44230	충청남도 논산시	기초자치단체
4550000	sgg	44710	충청남도 금산군	기초자치단체
4570000	sgg	44760	충청남도 부여군	기초자치단체
4580000	sgg	44770	충청남도 서천군	기초자치단체
4590000	sgg	44790	충청남도 청양군	기초자치단체
4600000	sgg	44800	충청남도 홍성군	기초자치단체
4610000	sgg	44810	충청남도 예산군	기초자치단체
4620000	sgg	44825	충청남도 태안군	기초자치단체
4640000	sgg	52110	전라북도 전주시	기초자치단체
4641000	sgg	52110	전북특별자치도 전주시	기초자치단체
4670000	sgg	52130	전라북도 군산시	기초자치단체
4671000	sgg	52130	전북특별자치도 군산시	기초자치단체
4680000	sgg	52140	전라북도 익산시	기초자치단체
4681000	sgg	52140	전북특별자치도 익산시	기초자치단체
4690000	sgg	52180	전라북도 정읍시	기초자치단체
4691000	sgg	52180	전북특별자치도 정읍시	기초자치단체
4700000	sgg	52190	전라북도 남원시	기초자치단체
4701000	sgg	52190	전북특별자치도 남원시	기초자치단체
4710000	sgg	52210	전라북도 김제시	기초자치단체
4711000	sgg	52210	전북특별자치도 김제시	기초자치단체
4720000	sgg	52710	전라북도 완주군	기초자치단체
4721000	sgg	52710	전북특별자치도 완주군	기초자치단체
4730000	sgg	52720	전라북도 진안군	기초자치단체
4731000	sgg	52720	전북특별자치도 진안군	기초자치단체
4740000	sgg	52730	전라북도 무주군	기초자치단체
4741000	sgg	52730	전북특별자치도 무주군	기초자치단체
4750000	sgg	52740	전라북도 장수군	기초자치단체
4751000	sgg	52740	전북특별자치도 장수군	기초자치단체
4760000	sgg	52750	전라북도 임실군	기초자치단체
4761000	sgg	52750	전북특별자치도 임실군	기초자치단체
4770000	sgg	52770	전라북도 순창군	기초자치단체
4771000	sgg	52770	전북특별자치도 순창군	기초자치단체
4780000	sgg	52790	전라북도 고창군	기초자치단체
4781000	sgg	52790	전북특별자치도 고창군	기초자치단체
4790000	sgg	52800	전라북도 부안군	기초자치단체
4791000	sgg	52800	전북특별자치도 부안군	기초자치단체
4800000	sgg	46110	전라남도 목포시	기초자치단체
4810000	sgg	46130	전라남도 여수시	기초자치단체
4820000	sgg	46150	전라남도 순천시	기초자치단체
4830000	sgg	46170	전라남도 나주시	기초자치단체
4840000	sgg	46230	전라남도 광양시	기초자치단체
4850000	sgg	46710	전라남도 담양군	기초자치단체
4860000	sgg	46720	전라남도 곡성군	기초자치단체
4870000	sgg	46730	전라남도 구례군	기초자치단체
4880000	sgg	46770	전라남도 고흥군	기초자치단체
4890000	sgg	46780	전라남도 보성군	기초자치단체
4900000	sgg	46790	전라남도 화순군	기초자치단체
4910000	sgg	46800	전라남도 장흥군	기초자치단체
4920000	sgg	46810	전라남도 강진군	기초자치단체
4930000	sgg	46820	전라남도 해남군	기초자치단체
4940000	sgg	46830	전라남도 영암군	기초자치단체
4950000	sgg	46840	전라남도 무안군	기초자치단체
4960000	sgg	46860	전라남도 함평군	기초자치단체
4970000	sgg	46870	전라남도 영광군	기초자치단체
4980000	sgg	46880	전라남도 장성군	기초자치단체
4990000	sgg	46890	전라남도 완도군	기초자치단체
5000000	sgg	46900	전라남도 진도군	기초자치단체
5010000	sgg	46910	전라남도 신안군	기초자치단체
5020000	sgg	47110	경상북도 포항시	기초자치단체
5050000	sgg	47130	경상북도 경주시	기초자치단체
5060000	sgg	47150	경상북도 김천시	기초자치단체
5070000	sgg	47170	경상북도 안동시	기초자치단체
5080000	sgg	47190	경상북도 구미시	기초자치단체
5090000	sgg	47210	경상북도 영주시	기초자치단체
5100000	sgg	47230	경상북도 영천시	기초자치단체
